carbon,WIPv8,Precip,TWI,DTW,slope,MHCLASS,StudyArea,HGM,MHCLASS_FACT,HGM_FACT
69.56091883,0.155,3199,6.1110601,217.3659973,0.58117,UPL,HOH,RIV,1,3
74.1,0.15,3255,0.94842,112.8130035,0.387353,UPL,HOH,UPL,1,1
84.8,0.64,2987,2.4461,29.2754993,0.259893,RIV,HOH,RIV,3,3
91.8,0.05,3097,0.361037,160.4839935,0.696953,UPL,HOH,UPL,1,1
92.3,0.785,3177,1.29313,2.6401701,0.274411,RIV,HOH,RIV,3,3
113.7490586,0.44,3242,1.6648999,14.698,0.18921,RIV,HOH,RIV,3,3
115.0708861,0.2,3246,3.82987,49.1867981,0.0434247,UPL,HOH,UPL,1,1
120.7235253,0.07,3166,3.74999,86.7841034,0.258698,UPL,HOH,UPL,1,1
151.4,0.39,3234,3.6264801,4.1051402,0.106438,RIV,HOH,UPL,3,1
172,0.34,3265,5.90485,4.3382401,0.0436189,RIV,HOH,UPL,3,1
185.2,0.56,3015,2.1314001,9.2258196,0.118671,RIV,HOH,UPL,3,1
246.1,0.27,3255,9.5826597,34.5237007,0.0086141,WET,HOH,UPL,2,1
250,0.085,3162,-0.261157,31.9237003,1.29843,UPL,HOH,UPL,1,1
280.6,0.925,3233,2.92869,54.1556015,0.106934,WET,HOH,DEP,2,2
294.9642077,0.265,3233,1.85532,30.0018997,0.156403,WET,HOH,UPL,2,1
320.7,0.205,3191,1.03993,14.9380999,0.353478,RIV,HOH,UPL,3,1
380.8,0.1,3158,6.1603498,90.6886978,0.107688,UPL,HOH,UPL,1,1
387,0.315,3255,5.2702198,150.9689941,0.298264,WET,HOH,UPL,2,1
414.1,0.055,3242,0.206238,108.5859985,0.81364,UPL,HOH,UPL,1,1
430,0.225,3197,1.43629,136.4400024,0.237809,UPL,HOH,DEP,1,2
471.6,0.905,3233,9.3056498,85.7089996,0.001,WET,HOH,DEP,2,2
474.3,0.275,3049,3.3663399,207.7640076,0.0690313,WET,HOH,UPL,2,1
492.3,0.26,3246,1.17867,138.9900055,0.307686,WET,HOH,UPL,2,1
518.6,0.43,3158,4.8776898,87.2947998,0.251282,WET,HOH,DEP,2,2
560.8,0.185,2987,7.6009002,88.9101028,0.001,UPL,HOH,UPL,1,1
562.7,0.105,3234,0.181457,216.8760071,0.834054,UPL,HOH,UPL,1,1
590.4,0.225,3049,1.43313,100.4629974,0.23856,UPL,HOH,UPL,1,1
597.4,0.485,3234,7.0679798,122.3539963,0.0724163,WET,HOH,DEP,2,2
604.4,0.495,3197,11.8129997,96.2640991,0.001,WET,HOH,DEP,2,2
620.8,0.605,3256,16.0900002,81.1007004,0.001,WET,HOH,RIV,2,3
628.8,0.335,3162,2.5237,93.5673981,0.0801626,WET,HOH,DEP,2,2
680.7,0.4,3256,3.9823,75.3235016,0.242356,WET,HOH,DEP,2,2
696.4869591,0.87,3255,11.9164,60.4962006,0.0386017,WET,HOH,DEP,2,2
780.383736,0.89,3255,2.0576701,64.4094009,0.255501,WET,HOH,DEP,2,2
64.57425598,0.06,1535,6.7416601,156.1239929,13.0974998,UPL,MASH,UPL,1,1
125.2112762,0.845,1981,5.9475698,0,3.4005301,RIV,MASH,DEP,3,2
127.9967713,0.695,2411,5.7108102,0,8.0599298,RIV,MASH,RIV,3,3
