FID,smpl_nm,lon,lat,carbon,WIPv8,Precip,TWI,DTW,slope,MHCLASS,StudyArea,HGM,MHCLASS_FACT,HGM_FACT,WIP_CHECK,RIVWETUP,WIP_CHECK2,RIV_WET_UP_CLEAN,SLP_CHECK,DTW_CHECK,TWI_CHECK,LANDFORMS,PENN_LANDF,TREE_HT,hoh_geo,DEV_300
0,H-C-01-DNR-WET,-124.18391,47.80303,471.6,0.905,3233,9.3056498,85.7089996,0.001,WET,HOH,DEP,2,2,0.13,2,0.265,2,3.3722868,211.5128326,1.9196355,6,7,14.62850952,3,-0.675863
1,H-C-02-DNR,-124.20276,47.79685,280.6,0.925,3233,2.92869,54.1556015,0.106934,WET,HOH,DEP,2,2,0.045,2,0.045,2,0,303.0978088,2.9286892,9,7,14.61306763,3,-1.01586
2,H-C-05-2020,-124.25752,47.78431,92.3,0.785,3177,1.29313,2.6401701,0.274411,RIV,HOH,RIV,3,3,0.14,3,0.81,3,7.5061426,3.5278964,1.2931291,106,8,91.42588806,2,-0.173796
3,H-C-06-DNR,-124.1076,47.79411,597.4,0.485,3234,7.0679798,122.3539963,0.0724163,WET,HOH,DEP,2,2,0.165,2,0.255,2,0,297.2086182,3.4549215,6,7,50.74212646,3,-0.244932
4,H-C-08-DNR,-124.23543,47.79654,430,0.225,3197,1.43629,136.4400024,0.237809,UPL,HOH,DEP,1,2,0.245,1,0.765,1,10.0249882,201.4339905,1.4362884,6,7,14.29806519,3,1.3626699
5,H-C-10-2020,-124.21409,47.79968,604.4,0.495,3197,11.8129997,96.2640991,0.001,WET,HOH,DEP,2,2,0.3,2,0.11,2,0,251.3884125,11.8130302,9,7,38.92785645,3,1.32532
6,H-C-11R2-TNC,-124.08934,47.80988,151.4,0.39,3234,3.6264801,4.1051402,0.106438,RIV,HOH,UPL,3,1,0.415,3,0.74,3,0,36.3758125,5.7104425,106,8,22.93954468,2,0.495313
7,H-C-14-2020,-124.09522,47.77797,246.1,0.27,3255,9.5826597,34.5237007,0.0086141,WET,HOH,UPL,2,1,0.43,1,0.64,1,0,335.0044861,3.0902054,6,7,108.7243652,3,-0.586509
8,H-C-16-TNC,-124.12246,47.82126,562.7,0.105,3234,0.181457,216.8760071,0.834054,UPL,HOH,UPL,1,1,0.765,1,0.985,1,3.3722868,305.1112366,0.1814575,6,1,20.86297607,3,-0.210639
9,H-C-19-DNR,-124.13073,47.78582,492.3,0.26,3246,1.17867,138.9900055,0.307686,WET,HOH,UPL,2,1,0.615,2,0.945,2,7.5061426,356.4464417,1.1786742,6,1,8.39239502,3,0.191491
